time,swing_leg,x,z,step_length,step_duration
25.202,right,0.723632813,0.11529541,0.0012022536255770094,0.11200000000000188
25.310000000000002,right,0.723632813,0.114929199,0.00036621100000000517,0.10800000000000054
25.422,right,0.722167969,0.114868164,0.0014661150076174315,0.11199999999999832
25.528000000000002,right,0.71875,0.115600586,0.003495562053668216,0.10600000000000165
25.632,right,0.718261719,0.115783691,0.000521484204924728,0.1039999999999992
25.734,right,0.717773438,0.116271973,0.0006905343195562305,0.10200000000000031
25.846,right,0.717773438,0.116394043,0.0001220700000000019,0.11199999999999832
25.946,right,0.717773438,0.116455078,6.103500000000095e-05,0.10000000000000142
26.05,right,0.717773438,0.116333008,0.0001220700000000019,0.1039999999999992
26.152,right,0.717285156,0.116333008,0.0004882820000000621,0.10200000000000031
26.258,right,0.716308594,0.116577148,0.0010066169477233736,0.1059999999999981
26.37,right,0.716308594,0.116577148,0.0,0.11200000000000188
26.48,right,0.716308594,0.116516113,6.103500000000095e-05,0.10999999999999943
26.582,right,0.716308594,0.116455078,6.103500000000095e-05,0.10200000000000031
26.682000000000002,right,0.716308594,0.116455078,0.0,0.10000000000000142
26.82,right,0.716308594,0.116394043,6.103500000000095e-05,0.13799999999999812
26.92,right,0.716308594,0.116455078,6.103500000000095e-05,0.10000000000000142
27.03,right,0.716308594,0.117248535,0.0007934569999999974,0.10999999999999943
27.136,right,0.716308594,0.116882324,0.00036621100000000517,0.1059999999999981
27.238,right,0.716308594,0.117004395,0.00012207100000000137,0.10200000000000031
27.34,right,0.716308594,0.117370605,0.0003662100000000057,0.10200000000000031
27.466,right,0.716308594,0.11706543,0.00030517500000000475,0.12600000000000122
27.586000000000002,right,0.716308594,0.116149902,0.0009155279999999988,0.120000000000001
27.692,right,0.716308594,0.116455078,0.0003051760000000042,0.1059999999999981
27.804000000000002,right,0.716308594,0.116699219,0.00024414100000000327,0.11200000000000188
27.914,right,0.716308594,0.116455078,0.00024414100000000327,0.10999999999999943
28.042,right,0.716308594,0.116271973,0.00018310500000000285,0.1280000000000001
28.154,right,0.716308594,0.116333008,6.103500000000095e-05,0.11199999999999832
28.258,right,0.716308594,0.116455078,0.0001220700000000019,0.1039999999999992
28.36,right,0.716308594,0.116455078,0.0,0.10200000000000031
28.466,right,0.716308594,0.116333008,0.0001220700000000019,0.10600000000000165
28.59,right,0.716308594,0.116271973,6.103500000000095e-05,0.12399999999999878
28.692,right,0.716308594,0.116271973,0.0,0.10200000000000031
28.798000000000002,right,0.716308594,0.116516113,0.0002441400000000038,0.10600000000000165
28.908,right,0.716308594,0.116516113,0.0,0.10999999999999943
29.012,right,0.716308594,0.116455078,6.103500000000095e-05,0.1039999999999992
29.126,right,0.716308594,0.116333008,0.0001220700000000019,0.11400000000000077
29.232,right,0.716308594,0.116516113,0.00018310500000000285,0.1059999999999981
29.334,right,0.716308594,0.116516113,0.0,0.10200000000000031
